"","range","tire_size","boot_capacity","battery_capacity","width","length","maximum_speed","acceleration","mean_energy_consumption"
"1",438,19,660,95,193.5,490.1,200,5.7,24.45
"2",340,19,660,71,193.5,490.1,190,6.8,23.8
"3",364,20,660,95,197.6,490.2,210,4.5,27.55
"4",346,19,615,71,193.5,490.1,190,6.8,23.3
"5",447,19,615,95,193.5,490.1,200,5.7,23.85
"6",369,20,615,95,197.6,490.2,210,4.5,27.2
"7",359,19,260,42.2,179.1,400.6,160,8.1,13.1
"8",345,20,260,42.2,179.1,400.6,160,6.9,14.3
"9",460,19,510,80,189.1,473.4,180,6.8,18.8
"10",320,17,350,50,255.8,411.8,150,8.7,15.6
"11",222,16,171,35.5,175.2,389.4,145,9,17.2
"12",222,17,171,35.5,175.2,389.4,145,8.3,17.5
"13",311,16,357,38.3,182,447,165,9.9,13.8
"14",289,17,332,39.2,180,418,155,9.7,15
"15",449,17,332,64,180,418,167,7.6,15.4
"16",470,20,656,90,201.1,468.2,200,4.8,21.2
"17",289,17,451,39.2,180.5,437.5,155,9.8,15.3
"18",455,17,451,64,180.5,437.5,167,7.8,15.9
"19",276,17,315,39.2,180,419.5,157,9.9,15.6
"20",452,17,315,64,180,419.5,167,7.9,15.7
"21",200,18,350,35.5,179.5,439.5,140,9.7,14.5
"22",414,19,500,80,188.4,476.2,180,5.1,21.85
"23",234,16,211,28.9,172.7,384.5,150,7.3,16.75
"24",270,16,435,40,178.8,449,144,7.9,18.5
"25",385,17,435,62,178.8,449,157,6.9,17.1
"26",337,16,267,50,176.5,406,150,8.1,16.65
"27",324,16,310,50,179.1,415.1,150,9,17.6
"28",340,16,311,50,174.5,405.5,150,8.1,16.4
"29",407,19,488,79.2,196.6,496.3,250,4,23.4
"30",463,19,488,93.4,196.6,496.3,250,4,24.1
"31",450,20,447,93.4,196.6,496.3,260,3.2,24.85
"32",412,21,447,93.4,196.6,496.3,260,2.8,25.1
"33",395,15,338,52,178.7,408.5,135,11.4,16.5
"34",395,16,338,52,178.7,408.5,140,9.5,16.5
"35",260,14,250,36.8,164.5,359.7,130,12.3,15.45
"36",154,15,185,17.6,166.3,269.5,130,11.6,16.35
"37",148,15,260,17.6,166.5,349.5,130,12.7,17
"38",258,14,250,32.3,164.5,360,130,11.9,14
"39",425,18,385,58,180.9,426.1,160,7.3,15.4
"40",549,19,385,77,180.9,426.1,160,7.9,15.9
"41",500,20,543,77,185.2,458.4,160,8.5,18
"42",230,16,603,50,192,459.9,130,13.1,25.2
