"","minimal_price_gross","engine_power","maximum_torque","battery_capacity","wheelbase","width","range","length","height","minimal_empty_weight","permissable_gross_weight","maximum_load_capacity","tire_size","maximum_speed","boot_capacity","acceleration","maximum_dc_charging_power","mean_energy_consumption"
"1",345700,360,664,95,292.8,193.5,438,490.1,162.9,2565,3130,640,19,200,660,5.7,150,24.45
"2",308400,313,540,71,292.8,193.5,340,490.1,162.9,2445,3040,670,19,190,660,6.8,150,23.8
"3",414900,503,973,95,292.8,197.6,364,490.2,162.9,2695,3130,565,20,210,660,4.5,150,27.55
"4",319700,313,540,71,292.8,193.5,346,490.1,161.6,2445,3040,640,19,190,615,6.8,150,23.3
"5",357000,360,664,95,292.8,193.5,447,490.1,161.6,2595,3130,670,19,200,615,5.7,150,23.85
"6",426200,503,973,95,292.8,197.6,369,490.2,161.5,2695,3130,565,20,210,615,4.5,150,27.2
"7",169700,170,250,42.2,257,179.1,359,400.6,157,1440,1730,440,19,160,260,8.1,50,13.1
"8",184200,184,270,42.2,257,179.1,345,400.6,159,1460,1730,440,20,160,260,6.9,50,14.3
"9",282900,286,400,80,286.4,189.1,460,473.4,166.8,2260,2725,540,19,180,510,6.8,150,18.8
"11",159900,136,260,50,255.8,255.8,320,411.8,153.4,1523,1975,450,17,150,350,8.7,100,15.6
"12",152900,136,315,35.5,253.8,175.2,222,389.4,151.2,1514,1855,342,16,145,171,9,100,17.2
"13",165900,154,315,35.5,253.8,175.2,222,389.4,151.2,1543,1870,350,17,145,171,8.3,100,17.5
"14",184500,136,295,38.3,270,182,311,447,147.5,1527,1970,518,16,165,357,9.9,100,13.8
"15",154400,136,395,39.2,260,180,289,418,157,1535,2020,485,17,155,332,9.7,100,15
"16",178400,204,395,64,260,180,449,418,157,1685,2170,485,17,167,332,7.6,100,15.4
"17",359500,400,696,90,299,201.1,470,468.2,155.6,2208,2670,537,20,200,656,4.8,100,21.2
"18",146990,136,395,39.2,270,180.5,289,437.5,156,1592,2080,488,17,155,451,9.8,100,15.3
"19",167990,204,395,64,270,180.5,455,437.5,156,1737,2230,493,17,167,451,7.8,100,15.9
"20",139900,136,395,39.2,260,180,276,419.5,160.5,1535,1682,490,17,157,315,9.9,100,15.6
"21",160990,204,395,64,260,180,452,419.5,160.5,1535,1682,498,17,167,315,7.9,100,15.7
"22",142900,145,270,35.5,265.5,179.5,200,439.5,155.5,1645,2119,474,18,140,350,9.7,37,14.5
"23",334700,408,760,80,287.3,188.4,414,476.2,162.4,2495,2940,445,19,180,500,5.1,110,21.85
"24",139900,184,270,28.9,249.5,172.7,234,384.5,143.2,1300,1770,480,16,150,211,7.3,50,16.75
"25",122900,150,320,40,270,178.8,270,449,153,1545,1995,450,16,144,435,7.9,50,18.5
"26",164000,217,340,62,270,178.8,385,449,154.5,1705,2140,435,17,157,435,6.9,100,17.1
"27",128900,136,260,50,253.8,176.5,337,406,143.3,1530,1916,367,16,150,267,8.1,100,16.65
"28",139900,136,260,50,256.1,179.1,324,415.1,153.2,1598,2015,417,16,150,310,9,100,17.6
"29",124900,136,260,50,254,174.5,340,405.5,143,1455,1918,463,16,150,311,8.1,100,16.4
"31",457000,435,640,79.2,290,196.6,407,496.3,137.9,2215,2880,740,19,250,488,4,225,23.4
"32",482283,490,650,93.4,290,196.6,463,496.3,137.9,2295,2880,660,19,250,488,4,270,24.1
"33",653000,625,850,93.4,290,196.6,450,496.3,138.1,2380,2880,575,20,260,447,3.2,270,24.85
"34",794000,625,1050,93.4,290,196.6,412,496.3,137.8,2370,2870,575,21,260,447,2.8,270,25.1
"35",135900,108,225,52,258.8,178.7,395,408.5,156.2,1502,1988,425,15,135,338,11.4,50,16.5
"36",142900,135,245,52,258.8,178.7,395,408.5,156.2,1502,1988,486,16,140,338,9.5,50,16.5
"37",82050,83,212,36.8,242.2,164.5,260,359.7,148.1,1178,1530,367,14,130,250,12.3,40,15.45
"38",96900,82,160,17.6,187.3,166.3,154,269.5,155.5,1035,1310,290,15,130,185,11.6,22,16.35
"39",98900,82,160,17.6,249.4,166.5,148,349.5,155.4,1140,1570,445,15,130,260,12.7,22,17
"47",97990,83,210,32.3,241.7,164.5,258,360,149.2,1235,1530,370,14,130,250,11.9,40,14
"48",155890,204,310,58,277,180.9,425,426.1,156.8,1805,2270,540,18,160,385,7.3,100,15.4
"49",179990,204,310,77,277,180.9,549,426.1,156.8,1934,2280,412,19,160,385,7.9,125,15.9
"50",202390,204,310,77,277.1,185.2,500,458.4,163.1,2124,2660,661,20,160,543,8.5,125,18
"51",215400,136,260,50,327.5,192,230,459.9,190,1969,2810,1056,16,130,603,13.1,100,25.2
